Frequence = 0.6 Ghz;
N = 12378;
1.
1   X = 200 mm; Y = 210 mm; Amplitude = 0.00146745; Faza = 55.0035 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
7756   X = 10070 mm; Y = 200 mm; Amplitude = 0.0100143; Faza = -154.614 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7757   X = 10070 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7758   X = 10070 mm; Y = 200 mm; Amplitude = 0.00883544; Faza = 23.2672 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7759   X = 10090 mm; Y = 200 mm; Amplitude = 0.0100899; Faza = -149.547 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7760   X = 10090 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7761   X = 10090 mm; Y = 200 mm; Amplitude = 0.00892131; Faza = 28.3661 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7762   X = 10110 mm; Y = 200 mm; Amplitude = 0.0101644; Faza = -144.52 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7763   X = 10110 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7764   X = 10110 mm; Y = 200 mm; Amplitude = 0.00900696; Faza = 33.4232 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7765   X = 10130 mm; Y = 200 mm; Amplitude = 0.010238; Faza = -139.533 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7766   X = 10130 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7767   X = 10130 mm; Y = 200 mm; Amplitude = 0.00909241; Faza = 38.4374 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7768   X = 10150 mm; Y = 200 mm; Amplitude = 0.010311; Faza = -134.586 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7769   X = 10150 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7770   X = 10150 mm; Y = 200 mm; Amplitude = 0.00917764; Faza = 43.4074 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7771   X = 10170 mm; Y = 200 mm; Amplitude = 0.0103833; Faza = -129.681 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7772   X = 10170 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7773   X = 10170 mm; Y = 200 mm; Amplitude = 0.0092626; Faza = 48.3321 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7774   X = 10190 mm; Y = 200 mm; Amplitude = 0.0104553; Faza = -124.818 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7775   X = 10190 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7776   X = 10190 mm; Y = 200 mm; Amplitude = 0.00934716; Faza = 53.2104 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7777   X = 10210 mm; Y = 200 mm; Amplitude = 0.0105269; Faza = -119.998 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7778   X = 10210 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7779   X = 10210 mm; Y = 200 mm; Amplitude = 0.00943114; Faza = 58.0413 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7780   X = 10230 mm; Y = 200 mm; Amplitude = 0.010598; Faza = -115.223 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7781   X = 10230 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7782   X = 10230 mm; Y = 200 mm; Amplitude = 0.00951435; Faza = 62.8242 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7783   X = 10250 mm; Y = 200 mm; Amplitude = 0.0106685; Faza = -110.495 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7784   X = 10250 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7785   X = 10250 mm; Y = 200 mm; Amplitude = 0.00959655; Faza = 67.5589 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7786   X = 10270 mm; Y = 200 mm; Amplitude = 0.0107382; Faza = -105.813 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7787   X = 10270 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7788   X = 10270 mm; Y = 200 mm; Amplitude = 0.0096775; Faza = 72.2454 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7789   X = 10290 mm; Y = 200 mm; Amplitude = 0.0108068; Faza = -101.179 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7790   X = 10290 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7791   X = 10290 mm; Y = 200 mm; Amplitude = 0.00975698; Faza = 76.8844 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7792   X = 10310 mm; Y = 200 mm; Amplitude = 0.0108739; Faza = -96.5926 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7793   X = 10310 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7794   X = 10310 mm; Y = 200 mm; Amplitude = 0.00983479; Faza = 81.4766 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7795   X = 10330 mm; Y = 200 mm; Amplitude = 0.0109393; Faza = -92.0538 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7796   X = 10330 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7797   X = 10330 mm; Y = 200 mm; Amplitude = 0.00991079; Faza = 86.023 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7798   X = 10350 mm; Y = 200 mm; Amplitude = 0.0110025; Faza = -87.5616 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7799   X = 10350 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7800   X = 10350 mm; Y = 200 mm; Amplitude = 0.00998489; Faza = -269.475 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7801   X = 10370 mm; Y = 200 mm; Amplitude = 0.0110634; Faza = -83.115 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7802   X = 10370 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7803   X = 10370 mm; Y = 200 mm; Amplitude = 0.0100571; Faza = -265.017 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7804   X = 10390 mm; Y = 200 mm; Amplitude = 0.0111218; Faza = -78.7128 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7805   X = 10390 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7806   X = 10390 mm; Y = 200 mm; Amplitude = 0.0101273; Faza = -260.601 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7807   X = 10410 mm; Y = 200 mm; Amplitude = 0.0111775; Faza = -74.3536 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7808   X = 10410 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7809   X = 10410 mm; Y = 200 mm; Amplitude = 0.0101958; Faza = -256.227 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7810   X = 10430 mm; Y = 200 mm; Amplitude = 0.0112305; Faza = -70.0362 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7811   X = 10430 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7812   X = 10430 mm; Y = 200 mm; Amplitude = 0.0102627; Faza = -251.894 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7813   X = 10450 mm; Y = 200 mm; Amplitude = 0.011281; Faza = -65.7595 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7814   X = 10450 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7815   X = 10450 mm; Y = 200 mm; Amplitude = 0.010328; Faza = -247.602 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7816   X = 10470 mm; Y = 200 mm; Amplitude = 0.011329; Faza = -61.5229 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7817   X = 10470 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7818   X = 10470 mm; Y = 200 mm; Amplitude = 0.0103921; Faza = -243.351 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7819   X = 10490 mm; Y = 200 mm; Amplitude = 0.0113748; Faza = -57.3263 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7820   X = 10490 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7821   X = 10490 mm; Y = 200 mm; Amplitude = 0.0104551; Faza = -239.142 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7822   X = 10510 mm; Y = 200 mm; Amplitude = 0.0114187; Faza = -53.1701 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7823   X = 10510 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7824   X = 10510 mm; Y = 200 mm; Amplitude = 0.010517; Faza = -234.975 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7825   X = 10530 mm; Y = 200 mm; Amplitude = 0.0114609; Faza = -49.0551 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7826   X = 10530 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7827   X = 10530 mm; Y = 200 mm; Amplitude = 0.0105782; Faza = -230.853 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7828   X = 10550 mm; Y = 200 mm; Amplitude = 0.0115017; Faza = -44.9829 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7829   X = 10550 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7830   X = 10550 mm; Y = 200 mm; Amplitude = 0.0106385; Faza = -226.777 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7831   X = 10570 mm; Y = 200 mm; Amplitude = 0.0115413; Faza = -40.9555 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7832   X = 10570 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7833   X = 10570 mm; Y = 200 mm; Amplitude = 0.010698; Faza = -222.747 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7834   X = 10590 mm; Y = 200 mm; Amplitude = 0.0115797; Faza = -36.975 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7835   X = 10590 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7836   X = 10590 mm; Y = 200 mm; Amplitude = 0.0107567; Faza = -218.767 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7837   X = 10610 mm; Y = 200 mm; Amplitude = 0.0116172; Faza = -33.044 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7838   X = 10610 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7839   X = 10610 mm; Y = 200 mm; Amplitude = 0.0108143; Faza = -214.838 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7840   X = 10630 mm; Y = 200 mm; Amplitude = 0.0116537; Faza = -29.165 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7841   X = 10630 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7842   X = 10630 mm; Y = 200 mm; Amplitude = 0.0108708; Faza = -210.96 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7843   X = 10650 mm; Y = 200 mm; Amplitude = 0.0116891; Faza = -25.3403 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7844   X = 10650 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7845   X = 10650 mm; Y = 200 mm; Amplitude = 0.0109259; Faza = -207.136 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7846   X = 10670 mm; Y = 200 mm; Amplitude = 0.0117233; Faza = -21.5723 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7847   X = 10670 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7848   X = 10670 mm; Y = 200 mm; Amplitude = 0.0109794; Faza = -203.366 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7849   X = 10690 mm; Y = 200 mm; Amplitude = 0.011756; Faza = -17.8627 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7850   X = 10690 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7851   X = 10690 mm; Y = 200 mm; Amplitude = 0.011031; Faza = -199.651 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7852   X = 10710 mm; Y = 200 mm; Amplitude = 0.011787; Faza = -14.213 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7853   X = 10710 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7854   X = 10710 mm; Y = 200 mm; Amplitude = 0.0110806; Faza = -195.992 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7855   X = 10730 mm; Y = 200 mm; Amplitude = 0.0118161; Faza = -10.624 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7856   X = 10730 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7857   X = 10730 mm; Y = 200 mm; Amplitude = 0.011128; Faza = -192.388 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7858   X = 10750 mm; Y = 200 mm; Amplitude = 0.0118431; Faza = -7.09615 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7859   X = 10750 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7860   X = 10750 mm; Y = 200 mm; Amplitude = 0.011173; Faza = -188.839 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7861   X = 10770 mm; Y = 200 mm; Amplitude = 0.0118678; Faza = -3.62937 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7862   X = 10770 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7863   X = 10770 mm; Y = 200 mm; Amplitude = 0.0112156; Faza = -185.346 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7864   X = 10790 mm; Y = 200 mm; Amplitude = 0.0118902; Faza = -0.223169 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7865   X = 10790 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7866   X = 10790 mm; Y = 200 mm; Amplitude = 0.0112557; Faza = -181.908 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7867   X = 10810 mm; Y = 200 mm; Amplitude = 0.0119102; Faza = 3.12332 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7868   X = 10810 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7869   X = 10810 mm; Y = 200 mm; Amplitude = 0.0112934; Faza = -178.525 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7870   X = 10830 mm; Y = 200 mm; Amplitude = 0.0119279; Faza = 6.4112 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7871   X = 10830 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7872   X = 10830 mm; Y = 200 mm; Amplitude = 0.0113287; Faza = -175.197 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7873   X = 10850 mm; Y = 200 mm; Amplitude = 0.0119435; Faza = 9.64175 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7874   X = 10850 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7875   X = 10850 mm; Y = 200 mm; Amplitude = 0.0113618; Faza = -171.922 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7876   X = 10870 mm; Y = 200 mm; Amplitude = 0.0119571; Faza = 12.8163 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7877   X = 10870 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7878   X = 10870 mm; Y = 200 mm; Amplitude = 0.0113929; Faza = -168.702 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7879   X = 10890 mm; Y = 200 mm; Amplitude = 0.011969; Faza = 15.9363 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7880   X = 10890 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7881   X = 10890 mm; Y = 200 mm; Amplitude = 0.011422; Faza = -165.536 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7882   X = 10910 mm; Y = 200 mm; Amplitude = 0.0119796; Faza = 19.0029 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7883   X = 10910 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7884   X = 10910 mm; Y = 200 mm; Amplitude = 0.0114495; Faza = -162.423 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7885   X = 10930 mm; Y = 200 mm; Amplitude = 0.0119891; Faza = 22.0172 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7886   X = 10930 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7887   X = 10930 mm; Y = 200 mm; Amplitude = 0.0114754; Faza = -159.365 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7888   X = 10950 mm; Y = 200 mm; Amplitude = 0.0119979; Faza = 24.9803 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7889   X = 10950 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7890   X = 10950 mm; Y = 200 mm; Amplitude = 0.0115; Faza = -156.36 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7891   X = 10970 mm; Y = 200 mm; Amplitude = 0.0120063; Faza = 27.893 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7892   X = 10970 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7893   X = 10970 mm; Y = 200 mm; Amplitude = 0.0115234; Faza = -153.409 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7894   X = 10990 mm; Y = 200 mm; Amplitude = 0.0120144; Faza = 30.7559 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7895   X = 10990 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7896   X = 10990 mm; Y = 200 mm; Amplitude = 0.0115457; Faza = -150.512 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7897   X = 11010 mm; Y = 200 mm; Amplitude = 0.0120225; Faza = 33.5696 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7898   X = 11010 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7899   X = 11010 mm; Y = 200 mm; Amplitude = 0.0115669; Faza = -147.669 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7900   X = 11030 mm; Y = 200 mm; Amplitude = 0.0120306; Faza = 36.3344 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7901   X = 11030 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7902   X = 11030 mm; Y = 200 mm; Amplitude = 0.0115873; Faza = -144.879 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7903   X = 11050 mm; Y = 200 mm; Amplitude = 0.0120388; Faza = 39.0508 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7904   X = 11050 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7905   X = 11050 mm; Y = 200 mm; Amplitude = 0.0116066; Faza = -142.142 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7906   X = 11070 mm; Y = 200 mm; Amplitude = 0.0120469; Faza = 41.7191 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7907   X = 11070 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7908   X = 11070 mm; Y = 200 mm; Amplitude = 0.011625; Faza = -139.457 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7909   X = 11090 mm; Y = 200 mm; Amplitude = 0.0120548; Faza = 44.3397 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7910   X = 11090 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7911   X = 11090 mm; Y = 200 mm; Amplitude = 0.0116424; Faza = -136.824 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7912   X = 11110 mm; Y = 200 mm; Amplitude = 0.0120624; Faza = 46.9129 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7913   X = 11110 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7914   X = 11110 mm; Y = 200 mm; Amplitude = 0.0116586; Faza = -134.242 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7915   X = 11130 mm; Y = 200 mm; Amplitude = 0.0120692; Faza = 49.4391 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7916   X = 11130 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7917   X = 11130 mm; Y = 200 mm; Amplitude = 0.0116737; Faza = -131.709 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7918   X = 11150 mm; Y = 200 mm; Amplitude = 0.0120751; Faza = 51.9188 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7919   X = 11150 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7920   X = 11150 mm; Y = 200 mm; Amplitude = 0.0116876; Faza = -129.226 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7921   X = 11170 mm; Y = 200 mm; Amplitude = 0.0120797; Faza = 54.3524 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7922   X = 11170 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7923   X = 11170 mm; Y = 200 mm; Amplitude = 0.0117002; Faza = -126.791 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7924   X = 11190 mm; Y = 200 mm; Amplitude = 0.0120827; Faza = 56.7404 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7925   X = 11190 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7926   X = 11190 mm; Y = 200 mm; Amplitude = 0.0117113; Faza = -124.404 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7927   X = 11210 mm; Y = 200 mm; Amplitude = 0.0120838; Faza = 59.0829 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7928   X = 11210 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7929   X = 11210 mm; Y = 200 mm; Amplitude = 0.0117209; Faza = -122.064 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7930   X = 11230 mm; Y = 200 mm; Amplitude = 0.0120827; Faza = 61.3802 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7931   X = 11230 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7932   X = 11230 mm; Y = 200 mm; Amplitude = 0.011729; Faza = -119.769 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7933   X = 11250 mm; Y = 200 mm; Amplitude = 0.0120792; Faza = 63.6323 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7934   X = 11250 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7935   X = 11250 mm; Y = 200 mm; Amplitude = 0.0117354; Faza = -117.522 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7936   X = 11270 mm; Y = 200 mm; Amplitude = 0.0120731; Faza = 65.8391 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
7937   X = 11270 mm; Y = 200 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
7938   X = 11270 mm; Y = 200 mm; Amplitude = 0.01174; Faza = -115.32 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
7939   X = 11290 mm; Y = 200 mm; Amplitude = 0.0120644; Faza = 67.9999 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
